order	locus_identifier	comment	assay_design_summary	13_T01	14_T01	15_T01	16_T01	20_T01	38_T01	38_T02	38_T03	38_T04	38_T05	38_T06	39_T01	40_T01	40_T02	41_T01	41_T02	41_T03	41_T04	41_T05	41_T06	43_T01	44_T01	44_T02	44_T03	45_T01	48_T01	49_T01	51_T01	52_T01	53_T01	54_T01	55_T01	55_T02	63_T01	64_T01	65_T01	65_T02	66_T01	67_T01	68_T01	69_T01	71_T01	72_T01	73_T01	74_T01	75_T01	76_T01	77_T01	79_T01	81_T01	82_T01	83_T01	84_T01	85_T01	86_T01	87_T01	88_T01	89_T01	90_T01	91_T01	92_T01	93_T01	94_T01	95_T01	96_T01	97_T01	98_T01	100_T01	101_T01	102_T01	103_T01	104_T01	105_T01	106_T01	107_T01	108_T01	109_T01	110_T01	111_T01	112_T01	113_T01	114_T01	115_T01	116_T01	117_T01	118_T01	119_T01	122_T01	124_T01	125_T01	126_T01	128_T01	129_T01	130_T01	131_T01	132_T01	134_T01	136_T01	137_T01	138_T01	139_T01	140_T01	141_T01	142_T01	143_T01	144_T01	145_T01	146_T01	147_T01	148_T01	149_T01	151_T01	153_T01	154_T01	155_T01	156_T01	157_T01	159_T01	160_T01	161_T01	162_T01	163_T01	163_T02	164_T01	165_T01	166_T01	167_T01	168_T01	170_T01	169_T01	171_T01	172_T01	173_T01	174_T01	175_T01	176_T01	177_T01	178_T01	179_T01	180_T01	181_T01	182_T01	183_T01	184_T01	185_T01	186_T01	187_T01	188_T01	189_T01	190_T01	191_T01	192_T01	193_T01	194_T01	195_T01	196_T01	197_T01	198_T01	199_T01	200_T01	001_N01	001_N02	001_N03	001_N04	001_N05	001_N06	001_N07	001_N08
29	recommended_13			0.28	0.43	0.25	0.38	0.28	0.42	0.38	0.29	0.45	failed	0.33	0.31	0.28	0.25	0.35	0.33	0.31	0.19	0.38	0.22	0.48	0.25	0.39	0.46	0.16	0.21	0.48	0.22	0.26	0.35	0.28	0.32	0.36	0.17	0.1	0.23	0.38	0.37	0.3	0.17	0.32	0.45	0.26	0.22	0.32	0.24	0.31	0.51	0.37	0.32	0.3	0.24	0.3	failed	0.35	0.2	0.2	0.2	0.29	0.39	0.16	0.41	0.24	0.16	0.22	0.11	0.4	0.32	0.2	0.27	0.25	0.22	0.31	0.25	0.29	0.24	0.26	0.27	0.35	0.31	0.18	0.42	0.17	0.31	0.28	0.19	0.42	0.21	0.39	0.21	0.16	0.2	0.38	0.4	0.28	0.18	0.27	0.26	0.24	0.22	0.14	0.37	0.45	0.29	0.35	failed	0.25	0.37	0.16	0.21	0.37	0.26	0.22	0.23	0.25	0.3	0.34	0.26	0.23	0.33	0.28	0.36	0.25	0.4	0.42	0.27	0.34	0.34	0.35	0.35	0.37	0.34	0.41	0.31	0.36	0.17	0.25	0.16	0.27	0.42	0.39	failed	0.21	0.32	0.24	0.19	0.4	0.15	0.41	0.41	0.24	0.49	0.29	0.2	0.16	0.26	0.31	0.48	0.25	0.34	0.13	0.18	0.19	0.13	0.2	0.17	0.17	0.16
30	recommended_14																																																																																																																																																																										
31	recommended_15																																																																																																																																																																										
32	recommended_16			0.79	0.69	0.45	0.81	0.84	0.84	0.61	0.89	0.64	0.67	0.69	0.72	0.81	0.79	0.37	0.31	0.34	0.4	0.32	0.42	0.13	0.78	0.64	0.73	0.57	0.6	0.57	0.72	0.72	0.75	0.7	0.67	0.85	0.7	0.46	0.72	0.59	0.64	0.65	0.81	0.64	0.34	0.69	0.48	0.72	0.74	0.72	0.68	0.5	0.52	0.66	0.63	0.49	0.66	0.7	0.56	0.73	0.83	0.75	0.56	0.63	0.63	0.83	0.76	0.64	0.54	0.42	0.46	0.72	0.62	0.7	0.56	0.14	0.82	0.7	0.76	0.75	0.71	0.8	0.64	0.39	0.49	0.38	0.63	0.7	0.65	0.7	0.39	0.68	0.54	0.41	0.63	0.49	0.55	0.8	0.61	0.52	0.82	0.6	0.36	0.49	0.53	0.72	0.33	0.51	1	0.76	0.82	0.67	0.65	0.66	0.52	0.62	0.76	0.46	0.62	0.77	0.8	0.84	0.33	0.77	0.76	0.73	0.45	0.79	0.46	0.61	0.38	0.6	0.72	0.82	0.73	0.81	0.81	0.47	0.55	0.48	0.76	0.49	0.52	0.34	0.64	0.56	0.76	0.79	0.89	0.53	0.55	0.48	0.33	0.63	0.16	0.33	0.76	0.59	0.46	0.58	0.38	0.7	0.71	0.81	0.81	0.85	0.79	0.87	0.76	0.81	0.82
33	recommended_17																																																																																																																																																																										
34	recommended_18																																																																																																																																																																										
35	recommended_19																																																																																																																																																																										
36	recommended_20																																																																																																																																																																										
37	recommended_21																																																																																																																																																																										
38	recommended_22																																																																																																																																																																										
39	recommended_23																																																																																																																																																																										
40	recommended_24																																																																																																																																																																										
41	recommended_25			0.11	0.53	0.41	0.27	0.22	0.52	0.3	0.39	0.48	0.35	0.3	0.23	0.25	0.34	0.49	0.52	0.47	0.47	0.56	0.43	0.68	0.21	0.16	0.27	0.09	0.3	0.39	0.22	0.36	0.31	0.2	0.24	0.43	0.19	0.45	0.2	0.44	0.18	0.46	0.18	0.37	0.05	0.15	0.3	0.3	0.22	0.24	0.56	0.29	0.1	0.31	0.3	0.29	0.14	0.34	0.11	0.25	0.15	0.27	0.33	0.09	0.48	0.12	0.23	0.24	0.09	0.22	0.31	0.36	0.22	0.2	0.23	0.09	0.24	0.29	0.35	0.13	0.09	0.37	0.46	0.43	0.41	0.2	0.36	0.31	0.08	0.49	0.25	0.42	0.2	0.07	0.09	0.46	0.51	0.34	0.08	0.43	0.3	0.19	0.11	0.05	0.37	0.57	0.17	0.09	0.21	0.19	0.54	0.18	0.21	0.41	0.36	0.1	0.14	0.07	0.06	0.33	0.35	0.16	0.52	0.35	0.31	0.25	0.28	0.48	0.34	0.1	0.56	0.25	0.23	0.31	0.41	0.37	0.17	0.32	0.17	0.09	0.09	0.2	0.44	0.18	0.47	0.27	0.16	0.3	0.1	0.39	0.2	0.62	0.2	0.24	0.49	0.41	0.24	0.36	0.33	0.43	0.06	0.27	0.33	0.1	0.09	0.12	0.1	0.1	0.1	0.1	0.09
42	recommended_26																																																																																																																																																																										
43	recommended_27																																																																																																																																																																										
44	recommended_28																																																																																																																																																																										
47	recommended_29																																																																																																																																																																										
48	recommended_30			0.34	0.51	0.62	0.5	0.2	0.46	0.65	0.61	0.42	0.42	0.35	0.32	0.28	0.34	0.39	0.5	0.37	0.46	0.44	0.44	0.5	0.25	0.53	0.27	0.27	0.44	0.53	0.24	0.27	0.29	0.25	0.33	0.42	0.5	0.16	0.3	0.43	0.44	0.52	0.41	0.4	0.41	0.36	0.45	0.44	0.28	0.33	0.56	0.41	0.36	0.43	0.35	0.37	0.36	0.29	0.41	0.27	0.19	0.49	0.21	0.35	0.54	0.19	0.42	0.27	0.22	0.5	0.36	0.46	0.3	0.3	0.28	0.26	0.42	0.29	0.4	0.21	0.42	0.5	0.57	0.33	0.31	0.48	0.41	0.45	0.31	0.48	0.46	0.36	0.69	0.19	0.29	0.46	0.55	0.35	0.36	0.3	0.34	0.3	0.48	0.51	0.43	0.51	0.47	0.47	0.42	0.26	0.42	0.38	0.34	0.29	0.32	0.28	0.3	0.37	0.36	0.52	0.47	0.35	0.49	0.44	0.34	0.28	0.47	0.34	0.47	0.23	0.44	0.37	0.28	0.5	0.48	0.35	0.47	0.55	0.39	0.31	0.31	0.36	0.35	0.55	0.47	0.29	0.49	0.3	0.31	0.35	0.25	0.59	0.36	0.42	0.46	0.6	0.32	0.38	0.45	0.44	0.24	0.27	0.46	0.18	0.15	0.12	0.18	0.12	0.16	0.19	0.16
49	recommended_31																																																																																																																																																																										
50	recommended_32																																																																																																																																																																										
